"","Var1","Freq"
"755","Ich wünsch dir ganz viel Glück",1
"756","Ihm blieb nur die Rache",1
"757","Ihr Edler von Sauschwanz oder Mozart in Geschichten und Anekdotennd",1
"758","Im Auftrag der Väter",1
"759","Im Bann des Polarwinters",1
"760","Im diplomatischen Dienst",1
"761","Im Krebsgang",1
"762","Im Schatten der Kiefer",1
"763","Im Schatten des roten Mondesn",1
"764","Im Schatten Romanettis",1
"765","Im Sommer der Mörder",2
"766","Im Supermarkt gibts keine Wasserbüffelnd",1
"767","Im Westen nichts Neues",2
"768","Immanuel Kant neugriech",1
"769","Immensee",1
"770","Immer sind die Männer Schuld",1
"771","Immer sind die Weiber weg und andere Weisheiten",1
"772","Imperium",1
"773","In 80 Frauen um die Weltnd",1
"774","In den Alpen",1
"775","In der Höhe",1
